text,emotion
"['brazil', 'v', 'belgium', 'fellaini', 'look', 'like', 'one', 'jackson', '5']","positivo"
"['win', 'today']","positivo"
"['11', 'match', 'corner', '50', 'match', 'book', 'point', '3', '5', 'goal', 'pen', 'award']","neutro"
"['happen', 'someth', 'márcio', 'canuto', 'report', 'sim', 'ta', 'lack', 'coverag', 'cup', 'medium', 'guy']","neutro"
"['hey', 'let', 'know', 'brussel', 'everyon', 'excit']","neutro"
"['look', 'forward', 'see', 'belgium', 'trash', 'brazil', '3', '1']","positivo"
"['video', 'shiver', 'foot', 'head', 'alway', 'watch', 'brazil']","positivo"
"['best', 'head', 'hexa']","positivo"
"['receiv', 'pan', 'frigideira', 'polishop', 'anti', 'stick', 'neymar', 'fall', 'goal']","positivo"
"['doubl']","positivo"
"['let', 'get', 'qf', 'parti', 'start', 'fifa', 'match', 'today']","positivo"
"['neymar', 'like', 'hazard']","positivo"
"['predict']","neutro"
"['hi', 'everyon']","positivo"
"['south', 'america', 'like', 'non', 'european', 'countri', 'left', 'run']","positivo"
"['receiv', 'pan', 'frigideira', 'polishop', 'anti', 'stick', 'neymar', 'fall', 'goal']","positivo"
"['lie', 'car', 'fear']","negativo"
"['glup']","neutro"
"['alreadi', 'pressur', 'mountain', 'match', 'place', 'tomorrow', '20h', 'much', 'hast', 'see', 'match', 'xa0']","positivo"
"['everybodi', 'sit', 'readi', 'front', 'brazil', 'belgium', 'make', 'minc', 'meat', 'quot']","positivo"
"['best', 'bet', 'brazil', 'v', 'belgium']","neutro"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['hello']","positivo"
"['predict']","neutro"
"['uwe', 'majesteiten']","neutro"
"['today', 'brazil', 'penalti', 'shootout']","positivo"
"['today', 'brazil', 'much', 'hate']","negativo"
"['lukaku', 'like', 'jesu']","neutro"
"['predict']","neutro"
"['predict']","neutro"
"['today', 'brazil', 'select', 'two', 'pet', 'still', 'gringo', 'hexa', 'come', 'guy']","positivo"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['refer']","neutro"
"['bye', 'uruguay', 'today', 'brazil', 'pass', 'catch', 'franc']","positivo"
"['come', 'brazil']","positivo"
"['brother', 'law', 'nemar', 'today', 'goal', 'roll']","positivo"
"['exhibit', 'hate', 'brazil', 'amassa', 'gringo', 'na', 'footbal', 'boot', 'rage', 'give', 'twist', 'entir', 'togeth', 'brazil']","positivo"
"['behav', 'like']","negativo"
"['god', 'brazilian', 'red', 'devil', 'belgium', 'world', 'cup', 'u0001f929']","neutro"
"['predict']","neutro"
"['machuquem', 'boy']","negativo"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['hexa', 'would', 'like']","positivo"
"['littl', 'brazil', 'music', 'today', 'jesu', 'humili', 'satan', 'quot', 'come', 'faith']","positivo"
"['win', 'today', 'cartoonbrasil']","positivo"
"['retweet', 'brazil', 'like', 'belgium']","neutro"
"['neymar', 'score', 'vs', 'belgium', 'get', '40', '1', 'price', 'boost', 'ladbrok', '5', 'lose']","neutro"
"['togeth', 'case', 'imagin', 'togeth']","positivo"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['20', '00', 'belgium', 'averag', '3', '3', 'goal', 'game', 'last', '23', 'match', 'c', '39', 'mon', 'belgium', 'team']","neutro"
"['neymar', 'like', 'hazard']","neutro"
"['today', 'eve', 'actual', 'tierdoku', 'quot', 'swallow', 'russia', 'quot', 'plan', 'chang']","neutro"
"['arriv']","neutro"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['give', 'everyth', 'tomorrow', 'countri']","positivo"
"['today', 'brazil', 'good', 'psycholog', 'desir', '4', 'gol', 'brazil', 'none', 'goal', 'give', 'belgium', 'sem', 'extens']","positivo"
"['would', 'see', 'semi', 'final', 'team', 'franc', 'belgium', 'love', 'brazil']","positivo"
"['neymar', 'like', 'hazard']","neutro"
"['grab', 'ad', 'valu', 'v', 'smarket', 'offer', 'see']","neutro"
"['receiv', 'pan', 'frigideira', 'polishop', 'anti', 'member', 'flavorston', 'philip', 'wall', 'hexa']","positivo"
"['await', 'high', 'voltag', 'match', 'wait', 'anymor', 'win']","positivo"
"['sleep', 'night', 'take', 'mean', 'stay']","neutro"
"['kind']","neutro"
"['neymar', 'like', 'hazard']","neutro"
"['behav', 'like']","neutro"
"['neymar', 'like', 'hazard']","neutro"
"['guy', 'say', 'willian', 'beat', 'head', 'squeez', 'juic', 'hazard']","neutro"
"['brazil', 'v', 'belgium', 'fellaini', 'look', 'like', 'one', 'jackson', '5']","positivo"
"['u200d', 'broer', 'bad', 'noh']","negativo"
"['come', 'hexa', 'brazil']","positivo"
"['remov', 'espan', 'h', 'angri', 'sina', 'x', 'ico', 'lemanja', 'miss', 'b', 'elgica', 'f', 'r', 'even']","neutro"
"['nobodi', 'disturb', 'neymar', 'today']","negativo"
"['de', 'bruyn', 'fernandinho', 'hazard', 'willian', 'kompani', 'gabriel', 'jesu', 'look', 'showdown', 'club']","positivo"
"['brother', 'law', 'nemar', 'today', 'goal', 'roll']","positivo"
"['prayer', 'cup', 'mr', 'jesu', 'brazil', 'need', 'win', 'today', 'peopl', 'zoou', 'way', 'medium', 'world', 'countri', 'one', 'g']","positivo"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['belgium', 'go', 'win', 'tonight', 'game']","positivo"
"['atonin', 'griezmann', 'neymar', 'harri', 'kane', 'modric']","neutro"
"['lukaku', 'like', 'jesu']","neutro"
"['exit', 'select', 'brazilian']","negativo"
"['predict']","neutro"
"['well', 'brazil', 'need', 'win']","positivo"
"['neymar', 'like', 'hazard']","neutro"
"['predict']","neutro"
"['yuri', 'pass', 'na', 'tml', 'bless', 'game', 'today', 'master', 'one', 'russian', 'brazilian', 'today', 'brazil']","positivo"
"['brazil', 'win', 'make', 'goal', 'place', 'profil', 'what', 'new', 'time', '3', 'day']","positivo"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['matchday', '20', '00', 'time']","neutro"
"['match', 'day', 'program', '6th', 'juli']","neutro"
"['franc', 'next', 'win']","positivo"
"['one', 'match', 'final']","neutro"
"['neymar', 'like', 'hazard']","neutro"
"['2nd', '1', '4', 'final', 'clash', '2', 'favourit', 'meet', 'head', 'head', 'samba', 'boy', 'brazil', 'red', 'devil', 'f']","neutro"
"['cup', 'brazil', 'peopl', 'alreadi', 'one', 'icon', 'mascot', 'one', 'icon', 'fan', 'one', 'icon', 'technic', 'one', 'icon']","neutro"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['bolon']","neutro"
"['quarter', 'final', 'kick', 'today', 'side', 'make', 'seed']","positivo"
"['begin', 'game']","neutro"
"['payback', 'time']","neutro"
"['va', 'brazil']","positivo"
"['predict']","neutro"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['last', 'kiss', 'japinha', 'gave', 'face', 'news', 'report']","neutro"
"['ambassador', 'brazil', 'readi', 'cheer', 'today']","positivo"
"['today', 'brazil', 'doubl', 'franc', 'uruguay', 'russia', 'belgium', 'croatia', 'aveng']","neutro"
"['know', 'neymar', 'spent', '14', 'minut', 'ground', 'far', 'fifa', 'world', 'cup', '2018', 'report']","neutro"
"['today', 'brazil', 'vaiiiiii']","positivo"
"['receiv', 'pan', 'frigideira', 'polishop', 'anti', 'stick', 'neymar', 'fall', 'goal']","positivo"
"['today', 'brazil', 'messag', 'dice']","positivo"
"['prepar', 'game', 'today']","neutro"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['predict']","neutro"
"['receiv', 'pan', 'frigideira', 'polishop', 'anti', 'stick', 'neymar', 'fall', 'goal']","positivo"
"['receiv', 'pan', 'frigideira', 'polishop', 'anti', 'member', 'flavorston', 'philip', 'wall', 'hexa']","negativo"
"['lukaku', 'like', 'jesu']","neutro"
"['kkkkkjkjjj', 'pqp']","positivo"
"['game', 'look', 'car']","negativo"
"['matchday', '20', '00', 'time']","neutro"
"['today', 'boy', 'ney', 'cai']","negativo"
"['predict']","neutro"
"['william', 'sprint', 'past', 'neymar', '1st', 'goal', 'brazil', 'skirt', 'first', '10', 'minut', 'game']","neutro"
"['neymar', 'like', 'hazard']","neutro"
"['ousadia', 'joy', 'guy', 'get', 'crazi', 'media', 'critic', 'lay', 'roll', 'aaaaaaaaaaa', 'born']","positivo"
"['thiago', 'silva', 'like', 'alderweireld']","positivo"
"['belgium']","neutro"
"['hello']","neutro"
"['video', 'shiver', 'foot', 'head', 'alway', 'watch', 'brazil']","positivo"
"['video', 'shiver', 'foot', 'head', 'alway', 'watch', 'brazil']","positivo"
"['cup', 'brazil', 'alreadi', 'one', 'icon', 'mascot', 'one', 'icon', 'fan', 'one', 'icon', 'technic', 'one', 'icon', 'mem']","neutro"
"['beat', 'strong', 'green', 'yellow', 'heart']","positivo"
"['also', 'mannekepi', 'readi', 'front']","neutro"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['fur', 'less', 'kind', 'side', 'belgium', 'hazard', 'random', 'excus']","negativo"
"['today', 'brazil', 'russia', 'chanc', 'crowd', 'brazilian', 'prove', 'best', 'world']","positivo"
"['prepar', 'see', 'remov']","negativo"
"['get', 'readi', 'see', 'neymar', 'ruin', 'match', 'roll', 'around', 'like', 'littl', 'bitch']","negativo"
"['win', 'match']","positivo"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['deal', 'meter', 'place', 'bring', 'hexa']","positivo"
"['think', 'flag', 'remo', 'globe', 'eca']","neutro"
"['belgium', 'qualifi', 'even', 'race', 'head']","neutro"
"['back', 'studi', 'next', 'match', 'start']","neutro"
"['predict']","neutro"
"['lukaku', 'like', 'jesu']","neutro"
"['loan', 'even', 'prognosi', 'victori', '1', '2', 'klaar', 'front', 'tonight', 'prono']","neutro"
"['predict', 'tomorrow', 'hope', 'like', 'mine', 'let', 'get', 'video', 'go', 'viral', 'share']","positivo"
"['soon', 'drive', 'seriou', 'game', 'footbal']","positivo"
"['hope', 'belgian', 'analyst', 'see', 'regrett', 'enough', 'choos', 'rather', 'front', '39', 'analyst', 'first', '39']","negativo"
"['neymar', 'theater', 'deposit', 'brazil', 'belgium', 'becom', 'art', 'transfer']","negativo"
"['neymar', 'theater', 'deposit', 'brazil', 'belgium', 'becom', 'art', 'transfer']","negativo"
"['crush', 'go', 'fall']","negativo"
"['real', 'sweeti']","positivo"
"['god', 'want', 'belgium', 'stay', 'back', 'fight', 'dad', 'heaven', 'command', 'today', 'brazil', 'x', 'belgium', 'brazil']","positivo"
"['neymar', 'dive', 'act', 'cunt']","negativo"
"['u2060', 'u2060', 'u2060', 'u2060', 'u2060', 'u2060']","neutro"
"['treat', 'today', 'program']","negativo"
"['suguem', 'whole', 'energi', 'belgium']","positivo"
"['twitter', 'see', 'dawn', 'site', 'soon']","negativo"
"['yuri', 'pass', 'na', 'tml', 'bless', 'game', 'today', 'master', 'one', 'russian', 'brazilian', 'today', 'brazil']","positivo"
"['belgium', 'defeat', 'brazil', 'give', '500', '5', 'random', 'peopl', 'like', 'rt', 'goodluck']","neutro"
"['yuri', 'much', 'babi', 'bicho', 'malia']","negativo"
"['brazil', 'vs', 'belgium', 'hope', 'last', 'memori', 'match']","positivo"
"['score', 'predict', 'brazil', 'vs', 'belgium']","neutro"
"['next', 'keep', 'roll', 'red', 'devil', 'end', 'south', 'america', 'hope', 'win', 'anoth']","positivo"
"['hexa', 'would', 'like']","positivo"
"['would', 'see', 'semi', 'final', 'team', 'franc', 'belgium', 'love', 'brazil']","positivo"
"['open', 'belgium', 'like', 'brazilian', 'l', 'belgihig', 'support', 'bnda']","neutro"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['actual', 'bit', 'elect', 'also', 'hang', 'hour', 'earli', 'front', 'tv', 'senseless']","neutro"
"['world', 'cup', 'stake', 'even', 'higher', 'belgium', 'brazil', 'meet', 'even', 'battl', 'place', 'semi', 'final', 'th']","neutro"
"['game', 'look', 'car']","positivo"
"['allison', 'fagner', 'silva', 'marquinho', 'marcelo', 'casemiro', 'bruyn', 'littl', 'coutinho', 'willian']","neutro"
"['receiv', 'pan', 'frigideira', 'polishop', 'anti', 'stick', 'neymar', 'fall', 'goal']","positivo"
"['predict', 'tomorrow', 'hope', 'like', 'mine', 'let', 'get', 'video', 'go', 'viral', 'share']","positivo"
"['thiago', 'silva', 'like', 'alderweireld']","neutro"
"['retweet', 'brazil', 'like', 'belgium']","neutro"
"['hundr', 'brazilian', 'walk', 'arena', 'boiler']","positivo"
"['shall', 'mss', 'well', 'night', 'world', 'cup', 'villag', 'front', 'becom']","positivo"
"['today', 'brazil', 'good', 'psycholog', 'desir', '4', 'gol', 'brazil', 'none', 'goal', 'give', 'belgium', 'sem', 'extens']","positivo"
"['lukaku', 'like', 'jesu']","neutro"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['lukaku', 'like', 'jesu']","neutro"
"['today', 'brazil', 'russia', 'chanc', 'crowd', 'brazilian', 'prove', 'best', 'world']","positivo"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['look', 'forward', 'see', 'meet', 'third', 'place', 'playoff']","positivo"
"['lukaku', 'like', 'jesu']","neutro"
"['announc', 'doubl', 'hazard']","neutro"
"['come', 'hexa', 'brazil']","positivo"
"['lukaku', 'like', 'jesu']","neutro"
"['follow', 'pre', 'game', 'brazil', 'belgium', 'time', 'real', 'direct', 'russia']","neutro"
"['choic', 'winner', 'max', 'expect', 'result', 'match', 'bye', 'ritweet', 'halcyon', 'friend', 'elli', 'hatchev']","neutro"
"['hope', 'belgium', 'absolut', 'thrash', 'brazil']","positivo"
"['di', 'game', 'gun', 'guud']","positivo"
"['remov', 'espan', 'h', 'angri', 'sina', 'x', 'ico', 'lemanja', 'miss', 'b', 'elgica', 'f', 'r', 'even']","neutro"
"['news', 'report', 'globe', 'end', 'abus', 'aliv', 'kiss', 'face', 'japinha', 'revolt']","neutro"
"['matchday', '20', '00', 'time']","neutro"
"['today', 'brazil', 'qnd', 'ask', 'quiet', 'p', 'game', 'insid']","negativo"
"['need', 'belgium', 'job', 'worst', 'cheat', 'tonight', 'calm']","negativo"
"['hexa', 'matter']","positivo"
"['today', 'eve', 'actual', 'tierdoku', 'quot', 'swallow', 'russia', 'quot', 'plan', 'chang']","neutro"
"['next', 'clash', 'favorit', 'come', 'top', 'see', 'bob', 'thing']","neutro"
"['small', 'amp', 'cute', 'akoedjiewoedji']","positivo"
"['today', 'brazil', 'good', 'psycholog', 'desir', '4', 'gol', 'brazil', 'none', 'goal', 'give', 'belgium', 'sem', 'extens']","positivo"
"['would', 'see', 'semi', 'final', 'team', 'franc', 'belgium', 'love', 'brazil']","positivo"
"['bye', 'uruguay', 'today', 'brazil', 'pass', 'catch', 'franc']","neutro"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['today', 'brazil', 'russia', 'chanc', 'crowd', 'brazilian', 'prove', 'best', 'world']","positivo"
"['retweet', 'brazil', 'like', 'belgium']","neutro"
"['win', 'stat', 'brazil', '75', 'amp', 'bel', '25', 'brazil', 'last', '3', 'game', 'belgium', '1st', 'time', 'winner', 'belgium']","neutro"
"['guy', 'hexa', 'lockscreen', 'trio', 'hexa', 'someon', 'want', 'call', 'dm', 'send']","neutro"
"['simon', 'back', 'start11', 'god', 'brazilian', 'red', 'devil', 'belgium']","neutro"
"['today', 'brazil', 'good', 'psycholog', 'desir', '4', 'gol', 'brazil', 'none', 'goal', 'give', 'belgium', 'sem', 'extens']","positivo"
"['thank', 'realli', 'super', 'quiet', 'much', 'game', 'today']","negativo"
"['predict']","neutro"
"['neymar', 'theater', 'deposit', 'brazil', 'belgium', 'becom', 'art', 'transfer']","negativo"
"['prepar', 'game', 'today']","neutro"
"['absolutament', 'game', 'brazil', 'inform', 'review', 'review', 'video', 'gif']","neutro"
"['hexa', 'would', 'like', 'see']","positivo"
"['ney', 'ganbaru', 'davilucca', 'kun', 'also', 'watch']","negativo"
"['caraaaaaaaaaa', 'isssom', 'scare', 'real']","negativo"
"['funerari', 'offer', 'coffin', 'die', 'eventu', 'victori', 'belgian']","negativo"
"['today', 'brazil', 'penalti', 'shootout']","neutro"
"['belgium', 'better', 'set', 'like', 'brazil']","positivo"
"['gabriel', 'jesu', 'goal', 'today', 'amen']","positivo"
"['east', 'half', 'rest', 'see', 'oppon']","neutro"
"['neymar', 'like', 'hazard']","neutro"
"['lukaku', 'like', 'jesu']","neutro"
"['brazil', 'vs', 'belgium', 'see', 'mani', 'goal', 'follow', 'gt', 'gt', 'place', 'win']","neutro"
"['lukaku', 'like', 'jesu']","neutro"
"['neymar', 'like', 'hazard']","neutro"
"['hashtronomi', 'goe', 'quit', 'parti', 'becom']","neutro"
"['tell', 'tell', 'noth', '21', 'edit', 'cut', 'world', 'brazil', 'belgium', '5', 'victori', '2', 'final']","neutro"
"['let', 'get', 'qf', 'parti', 'start', 'fifa', 'match', 'today']","positivo"
"['lukaku', 'like', 'jesu']","neutro"
"['finger', 'scream', 'turn', 'propaganda', 'kjkkkkkkkkkk']","positivo"
"['win', 'even']","positivo"
"['39', 'taken', 'belgium', 'brazil', 'today']","neutro"
"['would', 'see', 'semi', 'final', 'team', 'franc', 'belgium', 'love', 'brazil']","neutro"
"['predict']","neutro"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['franc', 'move', 'take', 'next', 'brazil', 'belgium']","neutro"
"['neymar', 'like', 'hazard']","neutro"
"['question', 'mascot', 'peopl', 'wash', 'belgium', 'want', 'twist', 'capiroto']","negativo"
"['today', 'brazil', 'win', 'god', 'bless', 'boy', 'couto', 'amen']","positivo"
"['guy', 'hexa', 'lockscreen', 'trio', 'hexa', 'someon', 'want', 'call', 'dm', 'send']","neutro"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['would', 'see', 'semi', 'final', 'team', 'franc', 'belgium', 'love', 'brazil']","neutro"
"['two', 'power', 'hous', 'collid', 'tonight', 'got']","positivo"
"['littl', 'brazil', 'music', 'today', 'jesu', 'humili', 'satan', 'quot', 'come', 'faith']","positivo"
"['pastim', '20', '00', 'duel', 'becom', 'cross', 'finger', 'vs']","neutro"
"['belgian', 'help', 'boy', 'neymar', 'lift']","negativo"
"['today', 'brazil', 'penalti', 'shootout']","neutro"
"['predict', 'tomorrow', 'hope', 'like', 'mine', 'let', 'get', 'video', 'go', 'viral', 'share']","positivo"
"['nerv', 'front', 'gladli', 'someon', 'hour', 'futur', 'send', 'thank', 'alreadi']","positivo"
"['back', 'two', 'massiv', 'match', 'today', 'watch']","positivo"
"['rt', 'kind', 'brazil', 'game', 'today']","positivo"
"['care', 'tactic', 'analysi', 'underway', 'today', 'quarter', 'finalist']","neutro"
"['cup', 'brazil', 'alreadi', 'one', 'icon', 'mascot', 'one', 'icon', 'fan', 'one', 'icon', 'technic', 'one', 'icon', 'mem']","neutro"
"['anxieti', 'take', 'account', 'hymn', 'sung', 'hour', 'boy', 'ney', 'littl', 'coutinho', 'firm', 'galvão', 'speak']","neutro"
"['today', 'brazil', 'name', 'fan', 'psycho', 'yuri', 'torski', 'whose', 'last', 'name', '6', 'letter', 'hexa']","neutro"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['prepar', 'game', 'today']","positivo"
"['would', 'see', 'semi', 'final', 'team', 'franc', 'belgium', 'love', 'brazil']","neutro"
"['receiv', 'pan', 'frigideira', 'polishop', 'anti', 'member', 'flavorston', 'philip', 'wall', 'hexa']","negativo"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['good', 'see', 'great', 'match']","positivo"
"['look', 'tierney', 'see']","neutro"
"['predict']","neutro"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['retweet', 'brazil', 'like', 'belgium']","neutro"
"['yuri', 'pass', 'na', 'tml', 'bless', 'game', 'today', 'master', 'one', 'russian', 'brazilian', 'today', 'brazil']","positivo"
"['time', 'riot', 'euro16', 'wm18', 'far', 'good', 'educ']","neutro"
"['predict']","neutro"
"['neymar', 'like', 'hazard']","neutro"
"['200', 'million', 'action', 'p', 'front', 'brazil', 'n', 'heart', 'td', 'togeth', 'come', 'p', 'front', 'brazil', 'hello', 'select', 'suddenli']","neutro"
"['good', 'brazil', 'power', 'hate', 'view', 'profil']","neutro"
"['u2060', 'u2060', 'u2060', 'u2060', 'u2060', 'u2060']","neutro"
"['lukaku', 'like', 'jesu']","neutro"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['hexa', 'ye', 'annot', 'written']","positivo"
"['ye', 'anim', 'cup']","positivo"
"['moon', 'phase', 'chat']","neutro"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['today', 'brazil', 'russia', 'chanc', 'crowd', 'brazilian', 'prove', 'best', 'world']","positivo"
"['thiago', 'silva', 'like', 'alderweireld']","neutro"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['hexa', 'come', 'base', 'hate', 'q']","neutro"
"['news', 'report', 'andré', 'galindo', 'globe', 'kiss', 'enter', 'aliv', 'coverag', 'cup']","neutro"
"['lukaku', 'like', 'jesu']","neutro"
"['video', 'shiver', 'foot', 'head', 'alway', 'watch', 'brazil']","neutro"
"['best', 'meet', 'respect']","positivo"
"['boy', 'favorit', 'brazil', 'girl', 'fab', 'good']","positivo"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['b', 'g', 'u', 'know', 'know', 'togeth', 'tonight']","neutro"
"['today', 'finger', 'goal', 'scream']","positivo"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['today', 'brazil', 'franc', 'x', 'uruguay', 'pau', 'cú', 'give', 'belgium', 'other', 'select']","negativo"
"['predict']","neutro"
"['100', 'hand']","neutro"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['lukaku', 'like', 'jesu']","neutro"
"['taca', 'na', 'rage', 'brazil', 'let', '39', 'go', 'win', 'cum', 'na', 'forc', 'hate', 'today', 'brazil']","positivo"
"['tough', 'one', 'call']","neutro"
"['wait', '2', 'hour', 'short', 'film']","neutro"
"['predict']","neutro"
"['brazil', 'v', 'belgium', 'fellaini', 'look', 'like', 'one', 'jackson', '5']","positivo"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['attend', 'belgian', 'brazilian']","neutro"
"['neymar', 'theater', 'deposit', 'brazil', 'belgium', 'becom', 'art', 'transfer']","negativo"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['throwback', 'chill', 'dj', 'booth', 'set', 'good', 'luck', 'tonight']","positivo"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['uruguay', 'franc', 'resist', 'singl', 'differ', 'lose', 'day', 'surpris', 'favori', 'hidden', 'favorit', 'belgium']","neutro"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['fall', 'goal', 'gritari']","positivo"
"['neymar', 'theater', 'deposit', 'brazil', 'belgium', 'becom', 'art', 'transfer']","negativo"
"['bill', 'vc', 'account', 'prepar', 'pq', 'hexa', 'alreadi', 'realiti']","positivo"
"['hazard', 'way', 'better']","positivo"
"['go', 'next', 'round']","positivo"
"['prepar', 'game', 'today']","neutro"
"['predict']","neutro"
"['would', 'see', 'semi', 'final', 'team', 'franc', 'belgium', 'love', 'brazil']","neutro"
"['today', 'brazil', 'day', 'fall', 'goal', 'scream']","positivo"
"['forget', 'still', 'competit', 'religi', 'day', 'later', 'hero']","positivo"
"['lack', 'meni', 'two', 'hour']","negativo"
"['lack', 'hour', 'start', 'game', 'car', 'like']","neutro"
"['thiago', 'silva', 'like', 'alderweireld']","neutro"
"['william', 'sprint', 'past', 'neymar', '1st', 'goal', 'brazil', 'skirt', 'first', '10', 'minut', 'game']","neutro"
"['thiago', 'silva', 'like', 'alderweireld']","neutro"
"['outdoor', 'stronger', 'home', 'well', 'whole', 'honest', 'karl']","neutro"
